url,title,place,date
https://www.sympla.com.br/evento/festival-palco-brasil-na-caixa-cultural-fortaleza/3050545,Festival Palco Brasil na Caixa Cultural Fortaleza,"Av. Pessoa Anta, 287 - Fortaleza, CE",
https://www.sympla.com.br/evento/mac-demarco-em-belo-horizonte/3065842,Mac DeMarco em Belo Horizonte,"Autêntica - Belo Horizonte, MG",12 de Abr às 19:00
https://www.sympla.com.br/evento/a-domingueira-3-anos-baco-exu-do-blues/3022604,A Domingueira 3 Anos (Baco Exu do Blues),"Komplexo Tempo  - São Paulo, SP",07 de Set às 15:30
https://www.sympla.com.br/evento/festival-de-inverno-macae-apresenta-armandinho-raiz-do-sana/3064313,Festival de Inverno Macaé apresenta: Armandinho & Raiz do Sana,"Espaço VIVA - Macaé, RJ",07 de Set às 14:00
https://www.sympla.com.br/evento/samba-do-poeira-pura-belo-horizonte/3068079,Samba do Poeira Pura - Belo Horizonte,"Espaço Lunarium - Belo Horizonte, MG",06 de Set às 15:00
https://www.sympla.com.br/evento/espaco-viva-apresenta-jorge-aragao/3065980,Espaço VIVA apresenta: Jorge Aragão,"Espaço VIVA - Macaé, RJ",30 de Ago às 15:00
https://www.sympla.com.br/evento/luciano-reis-com-o-show-rock-concert-caxias-do-sul/3054202,Luciano Reis com o show Rock Concert - Caxias do Sul,"UCS Teatro - Caxias do Sul, RS",19 de Set às 20:00
https://www.sympla.com.br/evento/rock-the-mountain-2025-2o-final-de-semana/2728071,Rock the Mountain 2025 : 2º Final de Semana,"Parque Municipal Prefeito Paulo Rattes - Petrópolis, RJ",
https://www.sympla.com.br/evento/the-choice-music-festival-sp/2949637,THE CHOICE MUSIC FESTIVAL - SP,"KOMPLEXO TEMPO - São Paulo, SP",17 de Ago às 14:00
https://bileto.sympla.com.br/event/109507,Festival Palco Brasil - Adriana Calcanhotto,"CAIXA Cultural Recife - Recife, PE",
https://bileto.sympla.com.br/event/106180,FESTIVAL DE INVERNO BAHIA 2025,"Parque de Exposições Teopompo de Almeida - Vitória da Conquista, BA",
https://www.sympla.com.br/evento/rock-the-mountain-2025-1o-final-de-semana/2725350,Rock the Mountain 2025 : 1º Final de Semana,"Parque Municipal Prefeito Paulo Rattes - Petrópolis, RJ",
https://www.sympla.com.br/evento/vhs-kylie-madonna-no-martinelli-l-15-08/3056958,VHS Kylie + Madonna no Martinelli l 15.08,"Condomínio do Edifício Martinelli - São Paulo, SP",15 de Ago às 22:00
