url,title,place,city,date
https://www.ticket360.com.br/evento/31382/ingressos-para-mahau-7-anos-com-hariel-negao-original-e-bruno-diegues,"Mahau 7 Anos com Hariel, Negão Original e Bruno Diegues",Audio,São Paulo / SP,23 JUL • QUA
https://www.ticket360.com.br/evento/30631/ingressos-para-marcos-e-belutti,Marcos & Belutti,Espaço Unimed,São Paulo / SP,25 JUL • SEX
https://www.ticket360.com.br/evento/30943/ingressos-para-val-pinheiro,Val Pinheiro,Villa Country,São Paulo / SP,25 JUL • SEX
https://www.ticket360.com.br/evento/31061/ingressos-para-arraia-da-maiara-e-maraisa,Arraiá da Maiara & Maraisa,CTN,São Paulo / SP,25 JUL • SEX
https://www.ticket360.com.br/evento/31056/ingressos-para-ivan-lins-80-anos,Ivan Lins 80 Anos,Vivo Rio,Rio de Janeiro / RJ,26 JUL • SÁB
https://www.ticket360.com.br/evento/31314/ingressos-para-feijoada-de-jorge,Feijoada de Jorge,Varanda Estaiada,São Paulo / SP,27 JUL • DOM
https://www.ticket360.com.br/evento/30671/ingressos-para-rafa-e-luiz-em-a-descoberta-do-verdadeiro-face,Rafa e Luiz em A Descoberta do Verdadeiro FACE,Espaço Unimed,São Paulo / SP,27 JUL • DOM
https://www.ticket360.com.br/evento/31014/ingressos-para-jorge-aragao-e-tiee,Jorge Aragão e Tiee,Espaço Unimed,São Paulo / SP,01 AGO • SEX
https://www.ticket360.com.br/evento/31135/ingressos-para-day-e-lara,Day e Lara,Villa Country,São Paulo / SP,01 AGO • SEX
https://www.ticket360.com.br/evento/30800/ingressos-para-braza-em-sp,Braza em SP,Audio,São Paulo / SP,01 AGO • SEX
https://www.ticket360.com.br/evento/31024/ingressos-para-lagum-ao-vivo,"Lagum As Cores, as Curvas e as Dores do Mundo",Espaço Unimed,São Paulo / SP,02 AGO • SÁB
https://www.ticket360.com.br/evento/31316/ingressos-para-proibidao-do-good-show-com-negao-original-jvila-nk-e-mc-luuky,"Proibidão do Good Show com Negão Original, JVila, NK e MC Luuky",Good Show,São Paulo / SP,02 AGO • SÁB
https://www.ticket360.com.br/evento/31110/ingressos-para-trance-in-brazil-presents-ram,Trance In Brazil Presents Ram,Audio,São Paulo / SP,02 AGO • SÁB
https://www.ticket360.com.br/evento/31443/ingressos-para-pagode-da-lu-cordeiro,Pagode da Lú Cordeiro,Armazém Maya,Guarulhos / SP,03 AGO • DOM
https://www.ticket360.com.br/evento/31337/ingressos-para-pato-fu-convida-zelia-duncan-tom-ze-bnegao-e-coral,"Pato Fu convida Zélia Duncan, Tom Zé, BNegão e Coral",Audio,São Paulo / SP,07 AGO • QUI
https://www.ticket360.com.br/evento/31175/ingressos-para-dino-fonseca-back-to-the-80-s,Dino Fonseca Back To The 80s,Vivo Rio,Rio de Janeiro / RJ,08 AGO • SEX
https://www.ticket360.com.br/evento/30770/ingressos-para-belo-e-rodriguinho,Belo e Rodriguinho,Clube Atlético Juventus,São Paulo / SP,08 AGO • SEX
https://www.ticket360.com.br/evento/31122/ingressos-para-luccas-e-rodrigo,Luccas & Rodrigo,Villa Country,São Paulo / SP,08 AGO • SEX
https://www.ticket360.com.br/evento/31315/ingressos-para-pacote-lagune-barra-hotel-fabio-jr,Pacote Lagune Barra Hotel Fábio Jr,Lagune Barra Hotel,Rio de Janeiro / RJ,09 AGO • SÁB
https://www.ticket360.com.br/evento/31457/ingressos-para-remember-2000,Remember 2000,Armazém Maya,Guarulhos / SP,09 AGO • SÁB
https://www.ticket360.com.br/evento/30546/ingressos-para-paralamas-e-titas,Paralamas e Titãs,Clube Atlético Juventus,São Paulo / SP,09 AGO • SÁB
https://www.ticket360.com.br/evento/30781/ingressos-para-delacruz-vinho-meet-greet,Delacruz Vinho Meet & Greet,Espaço Unimed,São Paulo / SP,09 AGO • SÁB
https://www.ticket360.com.br/evento/31091/ingressos-para-fabio-jr,Fábio Jr,Farmasi Arena,Rio de Janeiro / RJ,09 AGO • SÁB
https://www.ticket360.com.br/evento/31095/ingressos-para-luedji-luna,Luedji Luna,Vivo Rio,Rio de Janeiro / RJ,09 AGO • SÁB
https://www.ticket360.com.br/evento/30379/ingressos-para-jota-quest,Jota Quest,Clube Atlético Aramaçan,Santo André / SP,09 AGO • SÁB
https://www.ticket360.com.br/evento/30658/ingressos-para-gravacao-de-dvd-delacruz-vinho,Gravação de DVD Delacruz Vinho,Espaço Unimed,São Paulo / SP,09 AGO • SÁB
https://www.ticket360.com.br/evento/31312/ingressos-para-fbc-lancamento-assaltos-e-batidas,FBC Lançamento Assaltos e Batidas,Audio,São Paulo / SP,09 AGO • SÁB
https://www.ticket360.com.br/evento/31414/ingressos-para-a-noite-do-forro-com-moleca-sem-vergonha-brasas-do-forro-e-pegada-dos-plays,"A Noite do Forró com Moleca sem Vergonha, Brasas do Forró e Pegada dos Plays",Good Show,São Paulo / SP,09 AGO • SÁB
https://www.ticket360.com.br/evento/31111/ingressos-para-carol-biazin-tour-no-escuro-quem-e-voce,"Carol Biazin Tour No Escuro, Quem é Você",Audio,São Paulo / SP,10 AGO • DOM
https://www.ticket360.com.br/evento/31015/ingressos-para-alcione,Alcione,Vivo Rio,Rio de Janeiro / RJ,15 AGO • SEX
https://www.ticket360.com.br/evento/31022/ingressos-para-maria-cecilia-e-rodolfo,Maria Cecília & Rodolfo,Villa Country,São Paulo / SP,15 AGO • SEX
https://www.ticket360.com.br/evento/31090/ingressos-para-luedji-luna,Luedji Luna,Espaço Unimed,São Paulo / SP,15 AGO • SEX
https://www.ticket360.com.br/evento/31309/ingressos-para-fabio-jr-no-show-bem-mais-que-os-meus-20-e-poucos-anos,Fábio Jr no Show Bem Mais Que os Meus 20 e Poucos Anos,CTN,São Paulo / SP,15 AGO • SEX
https://www.ticket360.com.br/evento/31113/ingressos-para-pagode-do-principe-com-vitinho-yan-e-fabinho,"Pagode do Príncipe com Vitinho, Yan e Fabinho",Audio,São Paulo / SP,15 AGO • SEX
https://www.ticket360.com.br/evento/31016/ingressos-para-alcione,Alcione,Vivo Rio,Rio de Janeiro / RJ,16 AGO • SÁB
https://www.ticket360.com.br/evento/30521/ingressos-para-o-grande-encontro-com-elba-ramalho-alceu-valenca-e-geraldo-azevedo,"O Grande Encontro com Elba Ramalho, Alceu Valença e Geraldo Azevedo",Espaço Unimed,São Paulo / SP,16 AGO • SÁB
https://www.ticket360.com.br/evento/31303/ingressos-para-teto-maior-que-o-tempo,"Teto, Maior Que o Tempo",Audio,São Paulo / SP,16 AGO • SÁB
https://www.ticket360.com.br/evento/30940/ingressos-para-junior-solo-tour,Junior Solo Tour,Vivo Rio,Rio de Janeiro / RJ,22 AGO • SEX
https://www.ticket360.com.br/evento/31386/ingressos-para-jantar-show-frejat,Jantar Show Frejat,Espaço Win,Santo André / SP,22 AGO • SEX
https://www.ticket360.com.br/evento/31085/ingressos-para-menos-e-mais-mr-dan-e-nuwance,"Menos é Mais, Mr. Dan e Nuwance",Clube Atlético Aramaçan,Santo André / SP,22 AGO • SEX
https://www.ticket360.com.br/evento/31248/ingressos-para-pericles-e-entre-elas,Péricles e Entre Elas,Espaço Liv,São Caetano do Sul / SP,22 AGO • SEX
https://www.ticket360.com.br/evento/31339/ingressos-para-samba-com-elas-com-luciana-mello-leci-brandao-roberta-sa-sandra-de-sa-e-mais,"Samba com Elas com Luciana Mello, Leci Brandão, Roberta Sá, Sandra de Sá e mais",Audio,São Paulo / SP,22 AGO • SEX
https://www.ticket360.com.br/evento/31234/ingressos-para-dilsinho-e-vitinho,Dilsinho e Vitinho,Good Show,São Paulo / SP,22 AGO • SEX
https://www.ticket360.com.br/evento/30757/ingressos-para-jose-augusto,José Augusto,Vivo Rio,Rio de Janeiro / RJ,23 AGO • SÁB
https://www.ticket360.com.br/evento/30378/ingressos-para-simplesmente-roupa-nova-tour-2025,Simplesmente Roupa Nova Tour 2025,Clube Atlético Aramaçan,Santo André / SP,23 AGO • SÁB
https://www.ticket360.com.br/evento/31160/ingressos-para-ana-carolina,Ana Carolina Turnê 25 Anas,Espaço Unimed,São Paulo / SP,23 AGO • SÁB
https://www.ticket360.com.br/evento/31448/ingressos-para-claudio-ney-juliana-e-binho-alves,Claudio Ney & Juliana e Binho Alves,Good Show,São Paulo / SP,23 AGO • SÁB
https://www.ticket360.com.br/evento/31121/ingressos-para-dominguinho-joao-gomes-mestrinho-e-jotape,"Dominguinho João Gomes, Mestrinho e Jota.Pê",Espaço Unimed,São Paulo / SP,24 AGO • DOM
https://www.ticket360.com.br/evento/31462/ingressos-para-cjota-lancamento-da-turne-melhor-que-ontem,CJOTA Lançamento da Turnê Melhor Que Ontem,Audio,São Paulo / SP,24 AGO • DOM
https://www.ticket360.com.br/evento/31187/ingressos-para-reggae-live-station-com-edson-gomes-tribo-de-jah-e-mato-seco,"Reggae Live Station com Edson Gomes, Tribo de Jah e Mato Seco",Espaço Unimed,São Paulo / SP,29 AGO • SEX
https://www.ticket360.com.br/evento/31192/ingressos-para-combo-duas-datas-reggae-live-station,Combo Duas Datas Reggae Live Station,Espaço Unimed,São Paulo / SP,29 AGO • SEX
https://www.ticket360.com.br/evento/31322/ingressos-para-bruno-hipolito,Bruno Hipólito,Villa Country,São Paulo / SP,29 AGO • SEX
https://www.ticket360.com.br/evento/30941/ingressos-para-pat-metheny-dream-box-moondial-tour,Pat Metheny Dream Box Moondial Tour,Vivo Rio,Rio de Janeiro / RJ,30 AGO • SÁB
https://www.ticket360.com.br/evento/31238/ingressos-para-uma-noite-em-buenos-aires-50-anos,Uma Noite em Buenos Aires 50 Anos,Theatro Municipal do Rio de Janeiro,Rio de Janeiro / RJ,30 AGO • SÁB
https://www.ticket360.com.br/evento/30990/ingressos-para-alexandre-pires-pagonejo-bao,Alexandre Pires Pagonejo Bão,Espaço Unimed,São Paulo / SP,30 AGO • SÁB
https://www.ticket360.com.br/evento/31204/ingressos-para-ana-carolina-turne-25-anas-data-extra,Ana Carolina Turnê 25 Anas Data Extra,Espaço Unimed,São Paulo / SP,31 AGO • DOM
https://www.ticket360.com.br/evento/31412/ingressos-para-rita-lee-por-beto-lee-e-convidados,Rita Lee por Beto Lee e Convidados,Vivo Rio,Rio de Janeiro / RJ,31 AGO • DOM
https://www.ticket360.com.br/evento/31258/ingressos-para-hungria-e-maneva,Hungria e Maneva,Clube Atlético Juventus,São Paulo / SP,05 SET • SEX
https://www.ticket360.com.br/evento/31389/ingressos-para-rafa-e-junior,Rafa & Junior,Villa Country,São Paulo / SP,05 SET • SEX
https://www.ticket360.com.br/evento/31435/ingressos-para-mu540-e-kyan-2-quebrada-inteligente,MU540 & Kyan 2 Quebrada Inteligente,Audio,São Paulo / SP,05 SET • SEX
https://www.ticket360.com.br/evento/30547/ingressos-para-paralamas-e-titas,Paralamas e Titãs,Clube Atlético Aramaçan,Santo André / SP,06 SET • SÁB
https://www.ticket360.com.br/evento/31176/ingressos-para-encontro-apaixona-marcelo-erayane-bonde-do-brasil-e-encantus,"Encontro Apaixona Marcelo & Rayane, Bonde do Brasil e Encantu s",Good Show,São Paulo / SP,06 SET • SÁB
https://www.ticket360.com.br/evento/31453/ingressos-para-sombrinha,Sombrinha,Vivo Rio,Rio de Janeiro / RJ,08 SET • SEG
https://www.ticket360.com.br/evento/30769/ingressos-para-xande-de-pilares-cantando-seus-sucessos,Xande de Pilares Cantando seus Sucessos,Audio,São Paulo / SP,12 SET • SEX
https://www.ticket360.com.br/evento/30771/ingressos-para-belo-e-rodriguinho,Belo e Rodriguinho,Clube Atlético Aramaçan,Santo André / SP,12 SET • SEX
https://www.ticket360.com.br/evento/31020/ingressos-para-cezar-e-paulinho,Cezar & Paulinho,Villa Country,São Paulo / SP,12 SET • SEX
https://www.ticket360.com.br/evento/31229/ingressos-para-ze-ramalho-no-show-75-anos-de-vida-temporada-de-sucesso,Zé Ramalho no Show 75 Anos de Vida Temporada de Sucesso,Espaço Unimed,São Paulo / SP,12 SET • SEX
https://www.ticket360.com.br/evento/30939/ingressos-para-simplesmente-roupa-nova-tour-2025,Simplesmente Roupa Nova Tour 2025,Clube Atlético Juventus,São Paulo / SP,12 SET • SEX
https://www.ticket360.com.br/evento/30891/ingressos-para-pablo,Pablo,Espaço Unimed,São Paulo / SP,13 SET • SÁB
https://www.ticket360.com.br/evento/31384/ingressos-para-pisadinha-do-vaqueiro-washington-brasileiro-e-acacio,"Pisadinha do Vaqueiro, Washington Brasileiro e Acácio",Good Show,São Paulo / SP,13 SET • SÁB
https://www.ticket360.com.br/evento/31167/ingressos-para-tiqueque-no-show-bailamos,Tiquequê no Show Bailamos,Espaço Unimed,São Paulo / SP,14 SET • DOM
https://www.ticket360.com.br/evento/31093/ingressos-para-esperanza-spalding,Esperanza Spalding,Vivo Rio,Rio de Janeiro / RJ,18 SET • QUI
https://www.ticket360.com.br/evento/31396/ingressos-para-bailao-do-villa,Bailão do Villa,Villa Country,São Paulo / SP,19 SET • SEX
https://www.ticket360.com.br/evento/30625/ingressos-para-big-mountain,Big Mountain,Audio,São Paulo / SP,19 SET • SEX
https://www.ticket360.com.br/evento/31283/ingressos-para-estancia-pet,Estância Pet,Estância Alto da Serra,São Bernardo do Campo / SP,20 SET • SÁB
