primeira_compra;ultima_compra;qtd_compras;gmv_total_real;tickets_total;origem_primeira;destino_primeira;freq_media_dias;span_dias;freq_media_dias_aproximada;ticket_medio;seg_recorrencia;seg_velocidade;seg_combinada;status_ativo;cliente_id;momentum;tendencia;volatilidade;momentum_categoria;tendencia_categoria;indice_gini;mes_preferido;concentracao_mes;padrao_sazonal;destinos_recorrentes;total_viagens_recorrentes;media_viagens_por_destino;max_viagens_destino;padrao_recorrencia
21/06/2017;29/07/2019;3;552,3;6;FORTALEZA;OUTROS MUNICIPIOS;384;768;384.0;92,05;Sazonal;Lento;Sazonal_Lento;Inativo;21;-696.0;6.959.999.999.999.990;348.0;Desacelerando;Piorando;0.8611111111111112;7;0.6666666666666666;Altamente Sazonal;True;3;3.0;3;Moderadamente Recorrente
04/11/2017;22/04/2023;8;1348,16;8;RECIFE;SALVADOR;285;1995;285.0;168,52;Recorrente;Lento;Recorrente_Lento;Ativo;26;6.0;-12.978.571.428.571.400;6.265.055.010.589.630;EstÃ¡vel;Melhorando;0.8125;4;0.5;Altamente Sazonal;True;3;1.6;3;Moderadamente Recorrente
30/01/2023;23/12/2023;6;377,04;6;SAO PAULO;CABO FRIO;65,4;327;65.4;62,84;Recorrente;Medio;Recorrente_Medio;Ativo;111;132.0;-14.800.000.000.000.000;54.050.346.899.904.300;Acelerando;Melhorando;0.6388888888888891;12;0.3333333333333333;Altamente Sazonal;True;3;2.0;3;Moderadamente Recorrente
21/09/2020;19/05/2022;3;408,3;3;FLORIANOPOLIS;OUTROS MUNICIPIOS;302,5;605;302.5;136,1;Sazonal;Lento;Sazonal_Lento;Ativo;222;-597.0;5.969.999.999.999.990;298.5;Desacelerando;Piorando;0.8611111111111112;9;0.6666666666666666;Altamente Sazonal;True;2;1.5;2;Pouco Recorrente
10/02/2021;08/01/2022;5;571,25;5;GUARUJA;OUTROS MUNICIPIOS;83;332;83.0;114,25;Sazonal;Medio;Sazonal_Medio;Inativo;298;324.0;30.800.000.000.000.000;13.915.099.712.183.100;Acelerando;Piorando;0.8500000000000001;2;0.6;Altamente Sazonal;True;3;2.5;3;Moderadamente Recorrente
13/01/2023;20/10/2023;3;601,95;3;CURITIBA;OUTROS MUNICIPIOS;140;280;140.0;200,65;Sazonal;Medio;Sazonal_Medio;Ativo;327;96.0;-9.599.999.999.999.990;48.0;Acelerando;Melhorando;0.75;1;0.3333333333333333;Altamente Sazonal;True;2;1.5;2;Pouco Recorrente
11/11/2022;13/02/2024;6;1198,72;8;OUTROS MUNICIPIOS;CAMPINAS;91,8;459;91.8;149,84;Recorrente;Medio;Recorrente_Medio;Ativo;329;-331.0;4.949.999.999.999.990;12.925.540.607.649.600;Desacelerando;Piorando;0.8333333333333335;2;0.6666666666666666;Altamente Sazonal;True;4;3.0;4;Moderadamente Recorrente
24/09/2019;14/12/2020;3;317;4;FLORIANOPOLIS;CAXIAS DO SUL;223,5;447;223.5;79,25;Sazonal;Lento;Sazonal_Lento;Inativo;398;413.0;-413.0;206.5;Acelerando;Melhorando;0.75;9;0.3333333333333333;Altamente Sazonal;False;0;1.0;1;NÃ£o Recorrente
02/05/2019;12/01/2021;3;132,81;3;VITORIA;OUTROS MUNICIPIOS;310,5;621;310.5;44,27;Sazonal;Lento;Sazonal_Lento;Inativo;455;-617.0;6.169.999.999.999.990;308.5;Desacelerando;Piorando;0.8611111111111112;5;0.6666666666666666;Altamente Sazonal;False;0;1.0;1;NÃ£o Recorrente
26/12/2022;15/09/2023;3;959,75;5;BELO HORIZONTE;SAO PAULO;131,5;263;131.5;191,95;Sazonal;Medio;Sazonal_Medio;Ativo;478;-109.0;10.899.999.999.999.900;54.5;Desacelerando;Piorando;0.75;3;0.3333333333333333;Altamente Sazonal;True;2;1.5;2;Pouco Recorrente
14/03/2022;10/09/2023;5;864,72;12;SAO PAULO;OUTROS MUNICIPIOS;136,25;545;136.25;72,06;Sazonal;Medio;Sazonal_Medio;Ativo;582;225.0;-46.700.000.000.000.000;920.200.385.785.618;Acelerando;Melhorando;0.7166666666666668;9;0.4;Altamente Sazonal;True;2;1.25;2;Pouco Recorrente
11/01/2022;21/02/2022;3;371,4;3;MACEIO;FLORIANOPOLIS;20,5;41;20.5;123,8;Sazonal;Rapido;Sazonal_Rapido;Inativo;621;-29.0;2.899.999.999.999.990;14.5;EstÃ¡vel;Piorando;0.8611111111111112;1;0.6666666666666666;Altamente Sazonal;True;3;3.0;3;Moderadamente Recorrente
28/02/2022;07/12/2022;4;520,4;4;NITEROI;OUTROS MUNICIPIOS;94;282;94.0;130,1;Sazonal;Medio;Sazonal_Medio;Ativo;624;-183.0;10.800.000.000.000.000;9.500.526.301.210.890;Desacelerando;Piorando;0.6666666666666667;2;0.25;Altamente Sazonal;False;0;1.0;1;NÃ£o Recorrente
26/02/2022;26/03/2022;3;230,82;3;CAMPINAS;OUTROS MUNICIPIOS;14;28;14.0;76,94;Sazonal;Rapido;Sazonal_Rapido;Inativo;698;-20.0;19.999.999.999.999.900;10.0;EstÃ¡vel;Piorando;0.8611111111111112;3;0.6666666666666666;Altamente Sazonal;True;2;1.5;2;Pouco Recorrente
12/06/2017;27/03/2018;6;565,39;7;OUTROS MUNICIPIOS;OUTROS MUNICIPIOS;57,6;288;57.6;80,77;Recorrente;Medio;Recorrente_Medio;Inativo;807;-46.0;-4.400.000.000.000.000;5.611.274.365.061.820;Desacelerando;EstÃ¡vel;0.7222222222222223;1;0.3333333333333333;Altamente Sazonal;True;3;1.5;3;Moderadamente Recorrente
09/08/2021;13/09/2021;3;707,96;4;MARINGA;CAMPINAS;17,5;35;17.5;176,99;Sazonal;Rapido;Sazonal_Rapido;Inativo;872;-7.0;6.999.999.999.999.990;3.5;EstÃ¡vel;Piorando;0.8611111111111112;8;0.6666666666666666;Altamente Sazonal;True;3;3.0;3;Moderadamente Recorrente
